model,params,cv_roc_auc_mean,cv_roc_auc_sd,cv_pr_auc_mean,cv_pr_auc_sd
Logistic Regression,"{""model__C"": 0.1}",0.8457692613529161,0.008230432300165057,0.6612546733117537,0.030649293308011326
Logistic Regression,"{""model__C"": 1.0}",0.8463505995674767,0.007622225833833651,0.6621483415938825,0.030668961161170953
Logistic Regression,"{""model__C"": 10.0}",0.8464894809950525,0.007365171093476277,0.6621090984872049,0.030319388682549457
CatBoost,"{""depth"": 4, ""iterations"": 350}",0.8486078793160603,0.006340139135032133,0.6758723216509954,0.02841967608959669
CatBoost,"{""depth"": 6, ""iterations"": 350}",0.8458461706593065,0.005438084336371453,0.6695690765505128,0.02630904312638617
