model_version,capacity_pct,capacity_n,captured_churners,precision_at_k,recall_at_k,lift_at_k,cumulative_gain,random_expected_churners
churn-0.1.0,0.05,71,55,0.7746478873239436,0.14705882352941177,2.9183927091963544,0.14705882352941177,18.84599006387509
churn-0.1.0,0.1,141,105,0.7446808510638298,0.2807486631016043,2.805495505745818,0.2807486631016043,37.42654364797729
churn-0.1.0,0.2,282,186,0.6595744680851063,0.49732620320855614,2.484867447946296,0.49732620320855614,74.85308729595458
churn-0.1.0,0.3,423,243,0.574468085106383,0.6497326203208557,2.1642393901467742,0.6497326203208557,112.27963094393188
