model,calibration,recall_at_10pct,lift_at_10pct,n,observed_churn_rate,accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,threshold,model_version,split,selection_status
Logistic Regression,none,0.2807486631016043,2.805495505745818,1409,0.2654364797728886,0.8026969481902059,0.6578947368421053,0.5347593582887701,0.5899705014749262,0.8995169082125604,0.8360471724921852,0.6423524387502734,0.13807335649471192,931,104,174,200,0.5,churn-0.1.0,validation,selected
Logistic Regression,sigmoid,0.2807486631016043,2.805495505745818,1409,0.2654364797728886,0.8026969481902059,0.6610738255033557,0.5267379679144385,0.5863095238095238,0.9024154589371981,0.8360471724921852,0.6423524387502734,0.13812246728891708,934,101,177,197,0.5,churn-0.1.0,validation,candidate
CatBoost,none,0.28342245989304815,2.832214510562445,1409,0.2654364797728886,0.8048261178140526,0.6749116607773852,0.5106951871657754,0.5814307458143074,0.9111111111111111,0.8399416156449405,0.6509903841958307,0.13643775421322207,943,92,183,191,0.5,churn-0.1.0,validation,candidate
CatBoost,sigmoid,0.28342245989304815,2.832214510562445,1409,0.2654364797728886,0.8019872249822569,0.6806083650190115,0.4786096256684492,0.5620094191522763,0.9188405797101449,0.8399416156449405,0.6509903841958307,0.13745855950965094,951,84,195,179,0.5,churn-0.1.0,validation,candidate
Logistic Regression,none,,,1409,0.2654364797728886,0.7338537970191625,0.49917627677100496,0.8101604278074866,0.617737003058104,0.706280193236715,0.8420341522643313,0.6337024099769349,0.13803510170138766,731,304,71,303,0.25076144278523826,churn-0.1.0,untouched_test,selected
