model_version,bin,n,mean_predicted_risk,observed_churn_rate,bin_lower,bin_upper
churn-0.1.0,0,537,0.0352354364020344,0.037243947858473,0.0,0.1
churn-0.1.0,1,186,0.14935107280538887,0.1774193548387097,0.1,0.2
churn-0.1.0,2,143,0.2453183572483296,0.2727272727272727,0.2,0.3
churn-0.1.0,3,103,0.34548655562350666,0.3106796116504854,0.3,0.4
churn-0.1.0,4,122,0.45285994535995444,0.3360655737704918,0.4,0.5
churn-0.1.0,5,109,0.5470931845402506,0.5412844036697247,0.5,0.6
churn-0.1.0,6,116,0.6496113918038882,0.6982758620689655,0.6,0.7
churn-0.1.0,7,80,0.7387551259062314,0.7375,0.7,0.8
churn-0.1.0,8,13,0.8198257145884719,0.7692307692307693,0.8,0.9
